created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Thu Dec 25 07:30:08 +0000 2014	548017837877784577	0	photo	297	145	0	0	0	0	http://t.co/ll9GC6WwLA	Read Leo's story of how he was rescued when nobody else would give him a 2nd chance! http://t.co/py7iiaZINj http://t.co/ll9GC6WwLA
Thu Dec 25 07:10:02 +0000 2014	548012779970764801	0	photo	885	359	0	0	0	0	http://t.co/E68WRDgTaj	http://t.co/E68WRDgTaj
Thu Dec 25 06:40:05 +0000 2014	548005241892122624	0	photo	1350	301	0	0	0	0	http://t.co/Bv8Hd3fgbf	A watchful eye on her young cub http://t.co/Bv8Hd3fgbf
Thu Dec 25 06:00:14 +0000 2014	547995214066221057	0	photo	294	116	0	0	0	0	http://t.co/KqxBcJ5olx	6 cute animals who love to spend time in cups http://t.co/wdjQFrTWCK||. http://t.co/KqxBcJ5olx
Thu Dec 25 05:39:02 +0000 2014	547989876797603840	0	photo	1207	387	0	0	0	0	http://t.co/Ubg9BFlVuF	red panda cub cuddles http://t.co/Ubg9BFlVuF
Thu Dec 25 05:10:11 +0000 2014	547982615534632961	0	photo	1505	447	0	0	0	0	http://t.co/5PqOBJ9UYZ	i want a quokka http://t.co/5PqOBJ9UYZ
Thu Dec 25 04:56:46 +0000 2014	547979241326149632	ProPlan	photo	88	12	0	0	0	0	http://t.co/keIorsLXeQ	#ad The stockings were hung by the chimney with care, In hopes that @ProPlan treats soon would be there. http://t.co/keIorsLXeQ
Thu Dec 25 04:35:24 +0000 2014	547973864563568640	0	photo	1908	858	0	0	0	0	http://t.co/6TmLTCZfF5	They're so excited to meet Santa! http://t.co/6TmLTCZfF5
Thu Dec 25 04:30:00 +0000 2014	547972505185812481	0	photo	234	55	0	0	0	0	http://t.co/FsKotneO3Q	8 ways the world would change if dogs ruled http://t.co/7S9RJAejSn||. http://t.co/FsKotneO3Q
Thu Dec 25 04:25:03 +0000 2014	547971258571563008	0	photo	3373	1101	0	0	0	0	http://t.co/eaOcgEd22e	This German Shep has dwarfism. I think I want to steal him. http://t.co/eaOcgEd22e
