created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Wed Jun 26 13:06:24 +0000 2013	349876295808712704	DBNess|susanmcp1	0	0	1	349873723198799873	1	1	Wed Jun 26 12:56:10 +0000 2013	0	RT @DBNess: +1 "[Companies] who are shortsighted won’t be around in the future to debate [sustainability] issues." @susanmcp1 http://t.co/5…
Wed Jun 26 13:06:05 +0000 2013	349876217194881026	LollyDaskal	0	0	12	349876061607165952	5	12	Wed Jun 26 13:05:28 +0000 2013	0	RT @LollyDaskal: People fear what they cannot see #leadfromwithin #leadership
Wed Jun 26 13:05:49 +0000 2013	349876152229306368	TheOpEdProject	0	0	3	349874612647104512	0	3	Wed Jun 26 12:59:42 +0000 2013	0	RT @TheOpEdProject: Mentor-Editor Tom Zoellner, on how to edit yourself: "As much as possible, you’re going to want to read the piece... ht…
Wed Jun 26 13:05:30 +0000 2013	349876070276800512	theresafreet	0	1	0	0	0	0	0	0	excited to pick up a kombucha starter culture today from @theresafreet !
Wed Jun 26 13:04:40 +0000 2013	349875861605990402	TheWomanEffect	0	0	5	349875187468083202	0	5	Wed Jun 26 13:01:59 +0000 2013	0	RT @TheWomanEffect: How Being A Working Mother Made Me A Better Leader http://t.co/0nqSf0Y4eX #Women
Tue Jun 25 20:22:30 +0000 2013	349623659385720833	Coffitivity	0	1	0	0	0	0	0	0	fixing number discrpancy sql bugs with @coffitivity! http://t.co/eWew3FQ1Si #sounds4work
Tue Jun 25 13:17:43 +0000 2013	349516757976891393	pace_seidenberg|WriteSpeakCode	photo	0	4	348563096702431232	0	4	Sat Jun 22 22:08:13 +0000 2013	http://t.co/Qep66sOHTh	RT @pace_seidenberg: Thank you @WriteSpeakCode for bringing such an inspiring conference to our community. http://t.co/Qep66sOHTh
Tue Jun 25 13:14:13 +0000 2013	349515876132847616	pace_seidenberg|WriteSpeakCode	0	0	4	349513062082023424	1	4	Tue Jun 25 13:03:02 +0000 2013	0	RT @pace_seidenberg: The women have taken over Seidenberg HQ!|Check out this cool blog post about the frist @writespeakcode conference! htt…
Tue Jun 25 13:12:21 +0000 2013	349515407843008512	MacDiva|WriteSpeakCode	0	0	1	347661905650925569	2	1	Thu Jun 20 10:27:12 +0000 2013	0	RT @MacDiva: ICYMI: Today, I'm putting my money where my mouth is with @WriteSpeakCode: http://t.co/wMIUBI1okA
Tue Jun 25 13:12:13 +0000 2013	349515374674452481	DBNess|MacDiva|WriteSpeakCode	0	0	3	347690040517861377	2	3	Thu Jun 20 12:19:00 +0000 2013	0	RT @DBNess: "Talking is good; making is better." - @MacDiva http://t.co/ke5LxF8HQt on why we started @WriteSpeakCode
Tue Jun 25 13:11:30 +0000 2013	349515191874097152	WriteSpeakCode	photo	0	6	347918262828404736	6	6	Fri Jun 21 03:25:52 +0000 2013	http://t.co/klKGUwXenp	RT @WriteSpeakCode: Ladies. T-shirts are here! ladies_who_code.represent(); http://t.co/klKGUwXenp
Tue Jun 25 13:11:08 +0000 2013	349515100639608832	DBNess|copasetickid|WriteSpeakCode	0	0	10	348088223681097729	9	10	Fri Jun 21 14:41:14 +0000 2013	0	RT @DBNess: "Embrace the adrenaline you'll feel before a talk. It'll come no matter how many talks you give." - @copasetickid at @WriteSpea…
Tue Jun 25 13:10:56 +0000 2013	349515052912615426	WriteSpeakCode|marden928	photo	0	1	348134242015932416	1	1	Fri Jun 21 17:44:06 +0000 2013	http://t.co/anBoea2wXd	RT @WriteSpeakCode: .@marden928 is leading the group through the process of creating a great presentation #WriteSpeakCode http://t.co/anBoe…
Tue Jun 25 13:10:29 +0000 2013	349514939079196672	WriteSpeakCode	0	0	4	348518617517797376	0	4	Sat Jun 22 19:11:28 +0000 2013	0	RT @WriteSpeakCode: .@lrigknat suggests looking at Burp Suite for security testing of web apps: http://t.co/2oA39R8dvv #WriteSpeakCode
Tue Jun 25 09:42:20 +0000 2013	349462554273259520	0	0	0	0	0	0	0	0	0	"30 Days Of Sexism" http://t.co/Mi2GKaIU3J
Tue Jun 25 09:35:21 +0000 2013	349460798957039617	0	0	0	5	296311828022173696	6	5	Tue Jan 29 17:40:19 +0000 2013	0	RT @laurenbushtweet: "You can cry about it, or you can dance about it" #FEEDsoul - http://t.co/YPmXf3Yq
Tue Jun 25 09:15:37 +0000 2013	349455830099300353	thedailybeast	0	0	0	0	0	0	0	0	Women make up 45% of gamers - so why aren't there more female protagonists In video games? http://t.co/uJpEgJWKT6 via @thedailybeast
Tue Jun 25 08:35:27 +0000 2013	349445721923141632	rachelsklar|thedailybeast	0	0	11	320231744873832448	4	11	Fri Apr 05 17:49:32 +0000 2013	0	RT @rachelsklar: Hillary Clinton: Helping Women Isn't Just a 'Nice' Thing to Do http://t.co/nOO7njkyzU via @thedailybeast - HRC FTW!!! #wiw…
Tue Jun 25 08:34:30 +0000 2013	349445484210946048	GlobalFundWomen	0	0	27	320249748479164416	4	27	Fri Apr 05 19:01:04 +0000 2013	0	RT @GlobalFundWomen: Love this quote: "I am not a victim. I am part of the solution. I define my own future. I define my own destiny." - Te…
Tue Jun 25 08:33:33 +0000 2013	349445245693472769	RoomtoRead|Oprah|WomenInWorld	0	0	54	320259081057234947	20	54	Fri Apr 05 19:38:09 +0000 2013	0	RT @RoomtoRead: "When you educate a girl, you change not just that girl's life, you change her family &amp; the community," said @Oprah at @Wom…
Tue Jun 25 08:33:26 +0000 2013	349445217121878017	SayNO_UNiTE|ShomaChaudhury	0	0	2	320265120649469952	0	2	Fri Apr 05 20:02:09 +0000 2013	0	RT @SayNO_UNiTE: MT @SomalyMam:The most important outcome of India rape case:shame has shifted from the victim to the perpetrator. @ShomaCh…
Tue Jun 25 08:32:10 +0000 2013	349444896337313792	UN_Women|ChelseaClinton|AmbassadorRice|Oprah|tomhanks|USATODAY	0	0	16	320300246024454145	5	16	Fri Apr 05 22:21:44 +0000 2013	0	RT @UN_Women: #HillaryClinton @ChelseaClinton @AmbassadorRice @Oprah &amp; @tomhanks among those speaking at #WIW13 Summit http://t.co/wkl8urxJ…
Tue Jun 25 08:31:23 +0000 2013	349444698756235264	Fem2pt0	0	0	7	321376930412777472	2	7	Mon Apr 08 21:40:05 +0000 2013	0	RT @Fem2pt0: The fate of women and girls is a core national security issue said Hillary Clinton @WomenInWorl Summit #wiw13 http://t.co/L5Va…
Tue Jun 25 08:29:57 +0000 2013	349444337765060608	WomenInWorld	0	0	4	323894445596610560	6	4	Mon Apr 15 20:23:48 +0000 2013	0	RT @WomenInWorld: Still thinking about #wiw13? Want to continue the conversation? Be a Foundation Ambassador &amp; host your own Salons. http:/…
Tue Jun 25 08:23:07 +0000 2013	349442619060928512	WriteSpeakCode	0	0	3	348785603770449921	0	3	Sun Jun 23 12:52:22 +0000 2013	0	RT @WriteSpeakCode: Attendees: We’d love your feedback! Tweet, send email, video comments or links to blog posts to the organizers with yr …
Mon Jun 24 23:10:31 +0000 2013	349303551887024129	nicoleehorton	0	0	3	348073712785969152	2	3	Fri Jun 21 13:43:34 +0000 2013	0	RT @nicoleehorton: An Infographic explaining why our brains crave Infographics: http://t.co/xjdCXcBd0v
Mon Jun 24 20:08:49 +0000 2013	349257828583743488	CodeMontage	0	0	2	349257405957287937	0	2	Mon Jun 24 20:07:09 +0000 2013	0	RT @CodeMontage: 119 days until Software Freedom Day http://t.co/XGv5vkrn8K
Mon Jun 24 20:08:47 +0000 2013	349257816973905920	WomenInWorld	0	0	2	349257421249716224	0	2	Mon Jun 24 20:07:12 +0000 2013	0	RT @WomenInWorld: New Drug Molly Hits NY http://t.co/Dx33whNaNs #witwcheat
Mon Jun 24 20:07:21 +0000 2013	349257459208175617	aseits|GirlsWhoCode	0	0	58	320172740906713088	13	58	Fri Apr 05 13:55:04 +0000 2013	0	RT @aseits: "Give a girl technology and you give her the power to change the world" -Reshma, @girlswhocode #wiw13
Mon Jun 24 20:07:03 +0000 2013	349257380506251266	arstechnica|thepacketrat	0	0	68	324912982867984384	16	68	Thu Apr 18 15:51:06 +0000 2013	0	RT @arstechnica: In move to pwn boys, Girl Scouts to introduce game developer badge http://t.co/k8Oy5iQTBa by @thepacketrat
Mon Jun 24 20:06:31 +0000 2013	349257248821886976	SadDeveloper	0	0	1	342748956209598464	0	1	Thu Jun 06 21:04:53 +0000 2013	0	RT @SadDeveloper: "A well-written program is its own heaven; a poorly-written program is its own hell.'' #TaoOfProgramming
Sun Jun 23 20:23:38 +0000 2013	348899167525015553	HuffingtonPost	0	0	2	348894746686664704	1	2	Sun Jun 23 20:06:04 +0000 2013	0	RT @NCRWorg: Women want equality, not parity via @huffingtonpost http://t.co/br58EfTFuT
Sun Jun 23 20:20:16 +0000 2013	348898319969427458	WomenUndrSiege	0	0	2	348894952132063233	0	2	Sun Jun 23 20:06:53 +0000 2013	0	RT @WomenUndrSiege: Mali conflict is only the latest to employ forced marriage as tool of war http://t.co/ljUTXxim9V
Sun Jun 23 20:18:32 +0000 2013	348897884277706753	Salon|DennisScimeca	0	0	13	348895742733209600	4	13	Sun Jun 23 20:10:01 +0000 2013	0	RT @Salon: When will gamers use their power for good? http://t.co/m0G3eRlJZZ via @DennisScimeca
Sun Jun 23 20:16:59 +0000 2013	348897491904761856	kelleyrobinson	0	0	1	348816164387946496	2	1	Sun Jun 23 14:53:48 +0000 2013	0	RT @KelleyRobinson: An app for ambient coffee shop white noise. http://t.co/vpjZ2CoeYO
Sun Jun 23 20:16:46 +0000 2013	348897441577304066	kelleyrobinson	0	0	0	0	0	0	0	0	@KelleyRobinson ooh! this looks awesome - gonna try it right now - thanks!!
Sun Jun 23 20:14:08 +0000 2013	348896777598013441	annabelchurch	0	0	3	348085045883453440	1	3	Fri Jun 21 14:28:36 +0000 2013	0	RT @annabelchurch: #writespeakcode Consider giving a talk as the output of your learning.
Sun Jun 23 20:08:36 +0000 2013	348895383558160384	kelleyrobinson|WriteSpeakCode	0	0	1	348081494016790528	0	1	Fri Jun 21 14:14:29 +0000 2013	0	RT @KelleyRobinson: Day 2: Speak. What has prevented you from speaking at a conference? @WriteSpeakCode
Sun Jun 23 20:08:31 +0000 2013	348895362997686272	kelleyrobinson	0	0	7	348084442339885056	3	7	Fri Jun 21 14:26:12 +0000 2013	0	RT @KelleyRobinson: Many people at tech conferences give talks on things they only just learned, use speaking as an excuse to learn the top…
Sun Jun 23 20:04:27 +0000 2013	348894341063901184	WriteSpeakCode|rmillerwebster	0	0	3	348508841450803201	2	3	Sat Jun 22 18:32:37 +0000 2013	0	RT @WriteSpeakCode: .@rmillerwebster made a raffle name picker 4 our afternoon raffle &amp;she open sourced it! Fork &amp; enjoy: http://t.co/PfTcD…
Sun Jun 23 20:03:53 +0000 2013	348894198730203136	DBNess	0	0	11	348514948143525890	1	11	Sat Jun 22 18:56:53 +0000 2013	0	RT @DBNess: When ppl break into password databases, they use lists of 30million common passwords and get ~50-60% of users that way. Whoa #W…
